date_text,date,week ending friday,week ending thursday,week ending wednesday,week ending tuesday,week ending monday,week ending sunday,week ending saturday
"Wednesday, 13 May 2020",2020-05-13,2020-05-15,2020-05-14,2020-05-13,2020-05-19,2020-05-18,2020-05-17,2020-05-16
"Thursday, 14 May 2020",2020-05-14,2020-05-15,2020-05-14,2020-05-20,2020-05-19,2020-05-18,2020-05-17,2020-05-16
"Friday, 15 May 2020",2020-05-15,2020-05-15,2020-05-21,2020-05-20,2020-05-19,2020-05-18,2020-05-17,2020-05-16
"Saturday, 16 May 2020",2020-05-16,2020-05-22,2020-05-21,2020-05-20,2020-05-19,2020-05-18,2020-05-17,2020-05-16
"Sunday, 17 May 2020",2020-05-17,2020-05-22,2020-05-21,2020-05-20,2020-05-19,2020-05-18,2020-05-17,2020-05-23
"Monday, 18 May 2020",2020-05-18,2020-05-22,2020-05-21,2020-05-20,2020-05-19,2020-05-18,2020-05-24,2020-05-23
"Tuesday, 19 May 2020",2020-05-19,2020-05-22,2020-05-21,2020-05-20,2020-05-19,2020-05-25,2020-05-24,2020-05-23
"Wednesday, 20 May 2020",2020-05-20,2020-05-22,2020-05-21,2020-05-20,2020-05-26,2020-05-25,2020-05-24,2020-05-23
"Thursday, 21 May 2020",2020-05-21,2020-05-22,2020-05-21,2020-05-27,2020-05-26,2020-05-25,2020-05-24,2020-05-23
"Friday, 22 May 2020",2020-05-22,2020-05-22,2020-05-28,2020-05-27,2020-05-26,2020-05-25,2020-05-24,2020-05-23
"Saturday, 23 May 2020",2020-05-23,2020-05-29,2020-05-28,2020-05-27,2020-05-26,2020-05-25,2020-05-24,2020-05-23
"Sunday, 24 May 2020",2020-05-24,2020-05-29,2020-05-28,2020-05-27,2020-05-26,2020-05-25,2020-05-24,2020-05-30
"Monday, 25 May 2020",2020-05-25,2020-05-29,2020-05-28,2020-05-27,2020-05-26,2020-05-25,2020-05-31,2020-05-30
"Tuesday, 26 May 2020",2020-05-26,2020-05-29,2020-05-28,2020-05-27,2020-05-26,2020-06-01,2020-05-31,2020-05-30
"Wednesday, 27 May 2020",2020-05-27,2020-05-29,2020-05-28,2020-05-27,2020-06-02,2020-06-01,2020-05-31,2020-05-30
"Thursday, 28 May 2020",2020-05-28,2020-05-29,2020-05-28,2020-06-03,2020-06-02,2020-06-01,2020-05-31,2020-05-30
"Friday, 29 May 2020",2020-05-29,2020-05-29,2020-06-04,2020-06-03,2020-06-02,2020-06-01,2020-05-31,2020-05-30
"Saturday, 30 May 2020",2020-05-30,2020-06-05,2020-06-04,2020-06-03,2020-06-02,2020-06-01,2020-05-31,2020-05-30
"Sunday, 31 May 2020",2020-05-31,2020-06-05,2020-06-04,2020-06-03,2020-06-02,2020-06-01,2020-05-31,2020-06-06
