Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2020-08-08T20:54:00+00:00,,,52.514373,-1.859025,,25-34,Asian/Asian British - Pakistani,Asian,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,False
Person search,2020-08-08T22:04:00+00:00,,,52.475316,-1.898415,,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,False
Person search,2020-08-08T22:14:00+00:00,,,52.410358,-1.972465,,18-24,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,,False
Person search,2020-08-08T22:21:00+00:00,,,52.618900,-2.011050,,,Asian/Asian British - Pakistani,Asian,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,False
Person search,2020-08-08T22:33:00+00:00,,,52.504873,-1.751082,,,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,False
Person search,2020-08-08T23:16:00+00:00,,,52.406528,-1.477132,,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,False
Person search,2020-08-08T23:17:00+00:00,,,52.406528,-1.477132,,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,,False
Person search,2020-08-09T01:51:00+00:00,,,52.441910,-1.456559,,18-24,Asian/Asian British - Pakistani,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Arrest,,False
Person search,2020-08-09T03:53:00+00:00,,,52.490459,-2.124832,,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Firearms Act 1968 (section 47),Firearms,A no further action disposal,,False
Person and Vehicle search,2020-08-09T03:53:00+00:00,,,52.490459,-2.124832,,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Firearms Act 1968 (section 47),Firearms,A no further action disposal,,False
Person search,2020-08-09T03:55:00+00:00,,,52.453155,-1.816120,,,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,False
Person and Vehicle search,2020-08-09T04:02:00+00:00,,,52.495812,-2.112636,,,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,,False
Person search,2020-08-09T04:22:00+00:00,,,52.477251,-1.912118,,25-34,Black/African/Caribbean/Black British - African,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2020-08-09T04:22:00+00:00,,,52.477251,-1.912118,,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest,,False
Person search,2020-08-09T04:35:00+00:00,,,52.519078,-1.847103,,18-24,Asian/Asian British - Pakistani,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,False
Vehicle search,2020-08-09T05:28:00+00:00,,,52.519916,-1.848367,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,
Person search,2020-08-09T06:55:00+00:00,,,52.411348,-1.494056,,25-34,Other ethnic group - Not stated,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person and Vehicle search,2020-08-09T09:01:00+00:00,,,52.501005,-1.894025,,25-34,Mixed/Multiple ethnic groups - White and Asian,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person and Vehicle search,2020-08-09T09:13:00+00:00,,,52.572744,-2.115489,,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Firearms Act 1968 (section 47),Firearms,Arrest,False,False
Person search,2020-08-09T09:21:00+00:00,,,52.540972,-1.926883,,18-24,Asian/Asian British - Pakistani,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,,False
Person and Vehicle search,2020-08-09T09:21:00+00:00,,,52.540972,-1.926883,,18-24,Asian/Asian British - Bangladeshi,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,,False
Person search,2020-08-09T09:21:00+00:00,,,52.540972,-1.926883,,18-24,Asian/Asian British - Bangladeshi,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,,False
Person search,2020-08-09T09:50:00+00:00,,,52.584576,-1.980342,,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,,False
Person and Vehicle search,2020-08-09T10:53:00+00:00,,,52.478059,-1.780179,,,Asian/Asian British - Pakistani,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person and Vehicle search,2020-08-09T11:06:00+00:00,,,52.478059,-1.780179,,18-24,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2020-08-09T11:14:00+00:00,,,52.414702,-1.500648,,over 34,Asian/Asian British - Any other Asian background,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2020-08-09T11:18:00+00:00,,,52.412349,-1.492677,,over 34,Black/African/Caribbean/Black British - Caribbean,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2020-08-09T11:22:00+00:00,,,52.413647,-1.493456,,,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2020-08-09T11:59:00+00:00,,,52.412080,-1.499149,,,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,False
Person search,2020-08-09T13:54:00+00:00,,,52.393376,-1.566459,,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,,False
Vehicle search,2020-08-09T14:03:00+00:00,,,52.393376,-1.566459,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,,
