marked “Rejected” (cancellations under regulations 77, 78,78A and 86A are not rejections and should be included in items 2, 3, 5, 8, 9 and 10 above)",1) How many proxies were appointed for these elections?,2) How many emergency proxies were appointed for these elections?,3) How many waivers were granted for these elections?,a) Want of a signature,b) Want of a date of birth,c) Want of both,d) Mismatched signature,e) Mismatched DoB,f) Both mismatched,g) Ballot paper unreturned ,h) Postal voting statement unreturned ,5) What was the total number of polling stations used?,6) How many covering envelopes were returned on polling day before 10pm?,7) How many covering envelopes were returned on the day after polling day before 10pm?,15) How many people tried to vote on polling day and were found not to be registered?,17) What was your issue date for postal votes sent overseas?,18) What was your delivery date for postal votes sent to electors in the UK?,19) How many covering envelopes were returned  via the final Royal Mail sweep on polling day in time to be counted?,21) a) At what time did verification begin?,22) b) At what time did verification end?,23) a) At what time did counting the votes on the ballot papers begin?,23) b) At what time did counting the votes on the ballot papers end?,24) Was the count suspended?,25) How many recounts did you hold? ,26) a) How many people were in a queue by 10pm and were waiting to vote at a polling station at the close of poll?,26) b) How many people joined a queue after 10pm and were waiting to vote at a polling station at the close of poll?
E14000914,498,Scunthorpe,"61,578","40,202",65.3%,"40,274",65.4%,"40,369",65.6%,0,17,1,54,0,72,"12,303",47,0,"12,350",46,"10,474",57,6,41,0,0,41,"1,731","12,350","10,474",63,32,"10,379",95,249,36,56,19,29,4,20,7,5,0,11,49,683,41,8,15/05/17,24/05/17,23,22:01:00,01:00:00,01:20:00,03:00:00,No,0,0,0
E14000915,499,Sedgefield,"63,889","41,591",65.1%,"41,653",65.2%,"41,831",65.5%,0,17,1,44,0,62,"14,122",33,0,"14,155",12,"11,824",18,21,0,0,0,15,"2,277","14,155","11,824",68,87,"11,646",178,145,3,53,12,9,47,2,51,34,0,0,53,"2,886",8,69,18/05/17,22/05/17,23,22:00:00,01:30:00,01:30:00,03:02:00,No,0,0,0
E14000916,500,Sefton Central,"69,019","52,079",75.5%,"52,207",75.6%,"52,373",75.9%,0,22,0,106,0,128,"12,791",92,0,"12,883",33,"10,719",20,14,45,0,0,138,"1,947","12,883","10,719",1,409,"10,553",410,527,0,32,1,0,0,224,141,44,0,0,42,950,3, ,17/05/17,26/05/17, ,22:00:00,00:30:00,00:30:00,02:00:00,No,0,0,0
E14000917,501,Selby and Ainsty,"75,918","56,090",73.9%,"56,235",74.1%,"56,545",74.5%,0,29,3,113,0,145,"15,069",38,0,"15,107",16,"13,330",18,2,20,0,0,15,"1,722","15,107","13,330",61,131,"13,020",167,404,16,31,37,2,22,25,80,26,18,7,86,266,5, ,17/05/17,19/07/17,18,22:00:00,00:30:00,00:45:00,03:10:00,No,0,0,0
E14000918,502,Sevenoaks,"71,565","51,218",71.6%,"51,364",71.8%,"51,516",72.0%,0,26,0,120,0,146,"12,141",83,0,"12,224",48,"10,544",44,16,19,0,0,33,"1,568","12,224","10,544",50,97,"10,392",0,502,21,55,23,7,20,6,81,10,4,1,68,"1,057",35,7,17/05/17,26/05/17,47,22:00:00,00:30:00,00:30:00,02:00:00,No,0,0,0
E14000919,504,Sheffield Central,"77,560","47,919",61.8%,"48,056",62.0%,"48,262",62.2%,0,26,4,107,0,137,"13,044",67,0,"13,111",0,"10,625",71,2,65,0,0,72,"2,276","13,111","10,577",67,71,"10,419",186,608,45,20,25,3,39,44,4,23,26,22,44, ,16, ,15/05/17,23/05/17, ,22:00:00,01:40:00,01:55:00,02:55:00,No,0,0,0
E14000920,507,Sheffield South East,"68,945","43,621",63.3%,"43,711",63.4%,"43,938",63.7%,0,26,2,62,0,90,"15,871",26,0,"15,897",0,"13,343",39,0,26,0,0,46,"2,443","15,897","13,276",84,76,"13,116",227,188,11,26,37,3,44,49,4,23,37,30,33, ,2, ,15/05/17,23/05/17, ,22:00:00,01:30:00,01:45:00,02:45:00,No,0,0,0
E14000921,503,"Sheffield, Brightside and Hillsborough","70,344","41,869",59.5%,"41,939",59.6%,"42,159",59.9%,0,21,0,49,0,70,"13,728",56,0,"13,784",0,"11,185",26,2,54,0,0,46,"2,471","13,784","11,124",74,85,"10,965",220,173,16,43,20,0,54,56,3,26,33,28,41, ,1, ,15/05/17,23/05/17, ,22:00:00,01:30:00,01:45:00,02:40:00,No,0,0,0
E14000922,505,"Sheffield, Hallam","73,455","57,022",77.6%,"57,111",77.7%,"57,321",78.0%,0,28,0,61,0,89,"18,016",59,0,"18,075",0,"15,799",48,1,58,0,0,55,"2,114","18,075","15,715",72,54,"15,589",210,797,30,55,15,1,56,37,3,14,52,32,37, ,8, ,15/05/17,23/05/17, ,22:00:00,02:00:00,02:15:00,03:10:00,No,0,0,0
E14000923,506,"Sheffield, Heeley","68,040","44,059",64.8%,"44,138",64.9%,"44,415",65.3%,0,25,0,54,0,79,"15,127",46,0,"15,173",0,"12,675",41,2,44,0,0,53,"2,358","15,173","12,550",72,80,"12,398",277,333,29,26,27,2,43,55,3,22,87,38,36, ,8, ,15/05/17,23/05/17, ,22:00:00,01:40:00,01:55:00,02:35:00,No,0,0,0
E14000924,508,Sherwood,"76,196","53,364",70.0%,"53,462",70.2%,"53,560",70.3%,0,25,0,73,0,98,"6,370",24,0,"6,394",69,"5,421",12,0,24,0,0,21,916,"6,394","5,421",33,68,"5,323",107,218,11,43,10,15,8,42,26,0,3,3,34,264,1,13,15/05/17,24/05/17,11,22:10:00,12:45:00,02:15:00,04:30:00,No,0,0,0
E14000925,509,Shipley,"73,133","53,399",73.0%,"53,537",73.2%,"53,766",73.5%,0,19,0,119,0,138,"14,278",28,0,"14,306",210,"12,689",57,2,27,0,0,43,"1,490","14,308","12,689",76,92,"12,460",203,197,24,84,15,25,36,46,29,17,9,23,47,"1,286",3, ,18/05/17,22/05/17,38,22:00:00,01:20:00,01:20:00,03:30:00,No,0,0,0
E14000926,510,Shrewsbury and Atcham,"79,043","58,203",73.6%,"58,312",73.8%,"58,460",74.0%,0,19,0,90,0,109,"14,788",47,0,"14,835",119,"13,116",27,68,36,0,0,42,646,"14,835","13,116",40,103,"12,968",148,500,16,71,18,5,17,4,89,10,1,4,83,893,16,13,15/05/17,18/05/17,10,22:00:00,00:30:00,00:45:00,03:48:00,No,0,0,0
E14000927,512,Sittingbourne and Sheppey,"81,717","51,389",62.9%,"51,466",63.0%,"51,301",62.8%,0,28,2,47,0,77,"12,672",45,0,"12,717",0,"10,445",30,7,38,0,0,66,"2,131","12,717","10,445",44,98,"10,610",142,340,11,37,11,0,33,6,85,7,25,16,52,674,19,9,18/05/17,19/05/17,30,22:00:00,00:30:00,00:30:00,02:45:00,No,0,0,0
E14000928,513,Skipton and Ripon,"78,104","58,147",74.4%,"58,333",74.7%,"58,458",74.8%,0,24,0,162,0,186,"15,088",57,0,"15,145",19,"13,300",37,3,35,0,0,38,"1,713","15,145","13,300",18,107,"13,175",0,354,16,73,1,13,4,22,66,19,5,6,130,855,14,16,18/05/17,23/05/17,18,22:00:00,01:30:00,01:45:00,04:30:00,No,0,0,0
E14000929,514,Sleaford and North Hykeham,"90,929","65,840",72.4%,"65,947",72.5%,"66,106",72.7%,0,29,3,75,0,107,"13,722",48,11,"13,781",30,"12,147",50,1,17,0,0,43,"1,482","13,740","12,147",7,61,"11,988",159,592,22,116,4,3,0,22,33,6,52,39,114,581,12,35,17/05/17,19/05/17,3,22:00:00,00:45:00,00:50:00,03:45:00,No,0,0,0
E14000930,515,Slough,"83,272","54,296",65.2%,"54,464",65.4%,"54,746",65.7%,0,68,1,93,6,168,"13,560",96,111,"13,656",19,"10,759",62,9,87,0,0,32,"2,897","13,565","10,759",51,224,"10,477",280,225,3,31,7,42,2,122,73,29,1,4,46,700,62,20,18/05/17,18/05/17,100,22:00:00,01:00:00,01:15:00,03:15:00,No,0,50,0
E14000931,516,Solihull,"77,789","56,773",73.0%,"56,893",73.1%,"59,610",76.6%,1,35,3,81,0,120,"15,092",86,0,"15,178",50,"15,283",67,1,35,155,0,28,"2,317","17,886","15,283",22,92,"12,566",114,528,18,62,9,3,10,26,49,17,0,0,46,480,30,20,03/05/17,22/05/17,65,22:00:00,00:15:00,00:30:00,03:00:00,No,0,0,0
E14000932,519,Somerton and Frome,"84,437","63,982",75.8%,"64,086",75.9%,"64,275",76.1%,0,14,0,90,0,104,"18,870",79,0,"18,906",180,"16,575",22,4,32,0,0,41,"2,232","18,906","16,575",48,17,"16,386",189,"1,350",3,46,28,12,8,5,12,0,32,92,116,"1,140",11, ,19/05/17,24/05/17,7,22:00:00,00:45:00,00:50:00,02:30:00,No,0,0,0
N06000014,15,South Antrim,"68,244","43,170",63.3%,"43,292",63.4%,"43,316",63.5%,0,38,1,83,0,122,935,0,0,935,0,831,2,0,0,0,0,0,102,935,,,,807,24,285,,,,,,,,,,,68,,,69, , ,0,22:30:00,00:15:00,00:15:00,01:45:00, ,0,0,0
E14000933,33,South Basildon and East Thurrock,"73,537","47,103",64.1%,"47,178",64.2%,"47,178",64.2%,0,18,1,56,0,75,"9,740",15,0,"9,755",4,"8,018",42,1,10,0,0,12,"1,672","9,755","8,018",29,162,"8,018",96,147,1,48,5,12,12,80,55,27,17,0,50,630,8, ,18/05/17,22/05/17,32,22:00:00,23:45:00,22:30:00,01:00:00,No ,0,0,0
E14000934,122,South Cambridgeshire,"85,257","64,924",76.2%,"65,090",76.3%,"65,268",76.6%,0,27,0,139,0,166,"14,054",50,0,"14,104",50,"12,438",80,0,47,0,0,42,"1,497","14,104","12,438",5,104,"12,260",109,796,24,46,3,1,1,32,61,11,42,7,88,969,31,5,22/05/17,24/05/17,17,22:00:00,00:10:00,00:00:00,02:10:00,No,0,2,0
E14000935,186,South Derbyshire,"76,380","52,631",68.9%,"52,751",69.1%,"52,947",69.3%,0,22,0,98,0,120,"13,408",79,1,"13,488",33,"11,479",55,1,45,2,0,55,"1,819","13,456","11,479",4,232,"11,283",196,354,91,71,1,0,3,82,83,67,0,0,76,"11,479", , ,19/05/17,22/05/17,35, , , , , ,0,0,0
E14000936,199,South Dorset,"72,323","51,996",71.9%,"52,099",72.0%,"52,243",72.2%,0,17,0,86,0,103,"10,403",37,4,"10,444",37,"9,621",24,5,11,11,0,28,744,"10,444","9,621",24,93,"9,477",117,668,37,221,4,8,12,27,33,19,6,8,73,504,8,28,15/05/17,22/05/17,26,22:10:00,00:00:00,00:10:00,03:00:00,No,0,0,0
N06000015,203,South Down,"75,685","50,893",67.2%,"51,082",67.5%,"51,156",67.6%,0,110,0,79,0,189,"1,453",0,0,"1,453",0,"1,237",10,0,0,0,0,0,206,"1,453",,,,"1,163",74,564,,,,,,,,,,,85,,,88, , ,0,23:02:00,00:55:00,00:05:00,02:50:00, ,0,0,0
E14000937,123,South East Cambridgeshire,"86,121","63,002",73.2%,"63,228",73.4%,"63,383",73.6%,0,39,0,187,0,226,"12,739",47,1,"12,787",54,"11,060",49,6,40,1,0,38,"1,593","12,787","11,144",23,132,"10,905",155,737,8,134,11,6,6,48,37,3,24,20,94,546,55,6,16/05/17,24/05/17,6,22:07:00,02:06:00,23:58:00,04:20:00,No,0,0,0
E14000938,163,South East Cornwall,"71,880","53,224",74.0%,"53,357",74.2%,"53,453",74.4%,1,19,0,113,0,133,"15,750",49,0,"15,799",122,"13,783",47,3,26,20,0,55,"1,865","15,799","13,783",50,46,"13,687",96,681,20,132,19,20,11,2,34,10,4,12,79,760,19, ,22/05/17,23/05/17,42,22:00:00,04:15:00,04:15:00,09:00:00,No,0,0,0
E14000939,520,South Holland and The Deepings,"76,374","50,315",65.9%,"50,399",66.0%,"50,550",66.2%,0,16,0,68,0,84,"12,542",60,0,"12,602",24,"10,499",22,6,30,0,0,12,"2,033","12,602","10,499",20,131,"10,348",0,328,59,74,11,0,9,24,81,26,0,0,67,675,2,3,17/05/17,19/05/17,23,22:20:00,01:15:00,01:20:00,02:35:00,No,0,0,0
E14000940,360,South Leicestershire,"78,985","56,689",71.8%,"56,801",71.9%,"57,021",72.2%,0,21,1,90,0,112,"12,601",60,0,"12,661",27,"10,969",36,1,32,0,0,24,"1,599","12,661","10,969",138,16,"10,749",0,506,13,61,9,45,84,13,32,0,14,25,60,819,48,21,17/05/17,19/05/17,30,23:00:00,00:45:00,01:00:00,03:45:00,No,0,0,0
E14000941,424,South Norfolk,"83,055","61,111",73.6%,"61,293",73.8%,"61,498",74.0%,0,23,1,158,0,182,"16,539",97,0,"16,636",44,"14,290",78,5,48,0,0,98,"2,117","16,636","14,290",62,102,"14,085",205,553,58,62,27,1,34,3,84,15,37,4,106,"1,013",41,47,17/05/17,20/05/17,51,22:00:00,00:00:00,00:01:00,13:35:00,No,0,0,0
E14000942,429,South Northamptonshire,"85,759","64,998",75.8%,"65,123",75.9%,"65,452",76.3%,0,28,0,26,71,125,"17,299",97,0,"17,396",48,"15,078",77,14,35,0,0,41,"2,151","17,396","15,078",125,142,"14,749",191,487,0,73,13,106,6,81,36,25,0,0,96,"1,475",0,23,22/05/17,26/05/17,35,22:00:00,01:00:00,23:50:00,03:30:00,No,0,0,0
E14000943,521,South Ribble,"75,752","54,834",72.4%,"54,926",72.5%,"55,320",73.0%,0,11,12,69,0,92,"17,371",31,48,"17,402",26,"15,240",19,9,22,0,0,10,"2,102","17,402","15,240",47,99,"14,846",394,459,30,50,40,4,3,40,53,6,13,235,59,"1,258",12,21,15/05/17,30/05/17,106,22:00:00,00:20:00,00:20:00,02:55:00,No,0,0,0
E14000944,522,South Shields,"63,433","40,772",64.3%,"40,849",64.4%,"41,269",65.1%,0,17,0,60,0,77,"20,324",289,1,"20,614",223,"17,141",9,10,56,0,0,32,"3,278","20,526","17,141",13,409,"16,721",420,52,12,85,4,1,8,169,53,187,0,0,51,"1,801",9,5,18/05/17,23/05/17,100,22:00:00,23:30:00,23:30:00,00:50:00,No,0,0,0
E14000945,530,South Staffordshire,"73,441","51,109",69.6%,"51,296",69.8%,"51,428",70.0%,0,14,2,171,0,187,"10,590",50,0,"10,640",19,"9,280",21,4,27,0,0,10,"1,298","10,640","9,242",3,91,"9,148",0,413,22,102,2,1,0,23,47,21,0,0,66,614,12,30,16/05/17,18/05/17,22,22:00:00,00:15:00,23:45:00,03:05:00,No,0,0,0
E14000946,549,South Suffolk,"75,485","54,261",71.9%,"54,377",72.0%,"54,591",72.3%,0,13,1,102,0,116,"10,466",31,0,"10,497",100,"9,644",25,0,31,0,0,41,756,"10,497","9,644",5,127,"9,430",214,557,26,104,1,2,2,82,36,9,6,76,85,600,5,26,22/05/17,22/05/17,6,22:00:00,01:30:00,01:30:00,03:40:00,No,0,0,0
E14000947,561,South Swindon,"72,372","51,271",70.8%,"51,358",71.0%,"51,588",71.3%,0,23,4,60,0,87,"14,129",139,0,"14,268",34,"11,845",29,18,87,0,0,65,"2,224","14,268","11,845",93,149,"11,615",263,114,21,49,47,3,43,24,104,21,13,8,50,939,21,98,15/05/17,19/05/17,53,23:03:00,00:15:00,00:15:00,00:05:00,No,0,0,0
E14000948,568,South Thanet,"72,334","49,753",68.8%,"49,845",68.9%,"50,043",69.2%,0,29,0,63,0,92,"11,449",86,0,"11,535",32,"9,705",43,2,56,0,0,22,"1,707","11,535","9,705",53,145,"9,507",198,416,51,55,27,2,24,60,64,21,16,11,41,"9,705",15,2,17/05/17,22/05/17,31,22:00:00,00:45:00,01:00:00,04:15:00,No,0,0,0
E14000949,44,South West Bedfordshire,"79,658","55,635",69.8%,"55,798",70.0%,"55,913",70.2%,0,22,0,141,0,163,"12,630",210,0,"12,642",153,"11,036",22,9,3,153,0,38,"1,381","12,642","11,036",15,104,"10,921",115,363,19,83,7,8,0,51,40,13,"2,538",25,69,791,15,26,15/05/17,15/05/17,33,22:00:00,00:30:00,01:00:00,02:15:00,No,0,0,0
E14000950,191,South West Devon,"71,206","52,857",74.2%,"52,954",74.4%,"53,198",74.7%,0,30,2,65,0,97,"14,103",453,0,"14,556",25,"12,211",40,2,451,0,0,17,"1,835","14,556","12,211",0,244,"11,967",0,588,22,19,14,44,38,34,45,9,11,17,55,"1,033",15, ,19/05/17,23/05/17,50,22:00:00,02:00:00,02:05:00,05:00:00,No,0,0,0
E14000951,310,South West Hertfordshire,"81,087","60,653",74.8%,"60,791",75.0%,"61,057",75.3%,0,35,0,103,0,138,"14,147",26,0,"14,173",18,"11,735",77,0,26,0,0,41,"2,294","14,173","11,735",0,266,"11,469",266,402,377,11,0,0,0,211,13,42,0,0,70,307, , ,17/05/17,22/05/17,68,22:00:00,01:45:00,00:30:00,04:15:00,No,0,0,0
E14000952,425,South West Norfolk,"77,874","52,416",67.3%,"52,570",67.5%,"52,641",67.6%,1,28,1,124,0,154,"11,770",41,0,"11,811",28,"10,000",8,0,13,0,0,36,"1,754","11,811","10,000",14,86,"9,929",29,422,43,196,7,2,5,22,45,19,42,22,84,578,12,2,17/05/17,14/05/17,30,22:03:00,02:30:00,01:30:00,04:10:00,No,0,0,0
E14000953,554,South West Surrey,"78,042","60,432",77.4%,"60,583",77.6%,"60,978",78.1%,0,35,1,115,0,151,"15,067",89,0,"15,156",38,"13,561",75,0,0,89,0,46,"1,385","15,156","13,561",46,199,"13,166",245,968,52,89,9,0,37,74,102,23,14,6,67,"1,062",0,1,17/05/17,19/05/17,39,22:00:00,01:00:00,01:20:00,03:50:00,No,0,0,0
E14000954,620,South West Wiltshire,"76,898","54,762",71.2%,"54,908",71.4%,"55,072",71.6%,0,23,0,123,0,146,"14,267",72,0,"14,339",57,"12,000",68,9,6,0,0,76,"2,256","14,415","12,000",51,77,"11,836",0,575,21,107,8,33,10,6,60,11,32,14,85,940,49,0,20/05/17,25/05/17,25,22:00:00,01:00:00,00:35:00,03:25:00,No,0,0,0
E14000955,523,"Southampton, Itchen","71,722","46,783",65.2%,"46,875",65.4%,"47,047",65.6%,0,30,0,62,0,92,"12,343",47,0,"12,390",34,"10,742",47,0,13,0,0,19,"1,488","12,390","10,742",61,72,"10,570",141,372,11,70,7,49,5,29,28,15,0,8,95,756,16,80,19/05/17,22/05/17,42,22:00:00,01:00:00,01:15:00,05:45:00,No,3,0,0
E14000956,524,"Southampton, Test","70,199","46,903",66.8%,"47,022",67.0%,"47,151",67.2%,0,21,1,97,0,119,"11,651",54,0,"11,705",29,"10,092",45,0,25,0,0,31,"1,429","11,705","10,092",55,51,"9,963",116,457,17,77,4,46,5,14,21,16,3,7,42,824,8,76,19/05/17,22/05/17,55,22:00:00,00:30:00,00:45:00,03:00:00,No,0,0,0
E14000957,525,Southend West,"67,677","47,191",69.7%,"47,292",69.9%,"47,511",70.2%,0,47,0,54,0,101,"10,712",62,0,"10,774",15,"9,552",0,9,38,0,0,0,"1,175","10,774","9,552",116,71,"9,333",219,406,21,52,12,3,101,11,52,8,0,0,45,470,25, ,19/05/17,22/05/17,59,22:00:00,00:00:00,00:30:00,02:30:00,No,0,0,0
E14000958,526,Southport,"69,400","47,956",69.1%,"48,019",69.2%,"48,031",69.2%,0,21,0,42,0,63,"14,872",93,0,"14,965",36,"11,962",20,11,46,0,0,152,"2,774","14,965","11,962",2,383,"11,950",383,437,20,51,2, , ,181,155,47,10,0,42,928,0, ,17/05/17,26/05/17, ,22:00:00,01:00:00,01:15:00,02:30:00,No,0,0,0
E14000959,527,Spelthorne,"72,641","50,115",69.0%,"50,221",69.1%,"50,495",69.5%,0,27,0,79,0,106,"11,433",16,0,"11,449",11,"9,890",43,2,14,0,0,3,"1,497","11,449","9,890",2,58,"9,616",274,370,8,42,44,10,4,0,0,0,2,2,56,"1,622",5,9,18/05/17,18/05/17,88,22:30:00,02:00:00,02:05:00,04:00:00,No,0,0,0
E14000960,490,St Albans,"72,805","56,982",78.3%,"57,124",78.5%,"57,708",79.3%,0,25,0,117,0,142,"13,621",102,0,"13,723",27,"12,460",130,3,75,0,0,17,"1,038","13,723","12,460",145,85,"11,876",584,663,9,61,12,0,133,28,46,11,14,54,51,"1,075",9,3,17/05/17,24/05/17,50,22:01:00,12:50:00,00:50:00,02:40:00,No,0,0,0
E14000961,491,St Austell and Newquay,"78,609","54,212",69.0%,"54,443",69.3%,"54,531",69.4%,0,38,1,192,0,231,"13,700",52,0,"13,752",89,"11,634",41,3,35,14,0,43,"1,982","13,752","11,634",39,45,"11,546",84,515,32,109,14,15,10,5,29,11,4,1,74,598,7, ,22/05/17,23/05/17,34,22:00:00,03:00:00,03:15:00,08:15:00,No,0,0,0
E14000962,492,St Helens North,"76,088","50,222",66.0%,"50,312",66.1%,"50,749",66.7%,0,25,0,65,0,90,"16,043",47,0,"16,090",11,"13,881",28,3,33,0,0,3,"2,142","16,090","13,881",62,128,"13,444",203,262,12,56,33,2,27,10,95,23,11,2,52,"1,473",12,27,17/05/17,26/05/17,57,22:00:00,00:00:00,00:15:00,01:30:00,No,0,0,0
E14000963,493,St Helens South and Whiston,"79,039","52,886",66.9%,"52,965",67.0%,"55,816",70.6%,0,28,0,51,0,79,"16,464",130,0,"16,594",16,"14,079",11,3,111,0,0,8,"2,382","16,594","14,079",82,114,"11,228",210,282,24,42,44,5,33,16,78,20,7,7,49,"1,691",3,34,17/05/17,26/05/17,107,22:00:00,00:00:00,00:15:00,01:30:00,No,0,0,0
E14000964,494,St Ives,"67,451","51,226",75.9%,"51,335",76.1%,"51,448",76.3%,0,9,0,100,0,109,"15,082",11,0,"15,093",102,"13,311",48,5,30,14,0,54,"1,631","15,093","13,311",49,46,"13,198",95,616,18,94,16,24,9,8,32,6,3,9,83,628,18, ,22/05/17,23/05/17,36,22:00:00,02:50:00,01:30:00,07:20:00,No,0,0,0
E14000965,528,Stafford,"68,445","51,924",75.9%,"52,046",76.0%,"52,309",76.4%,0,28,1,93,0,122,"10,426",22,0,"10,448",25,"9,082",58,0,22,0,0,35,"1,251","10,448","9,082",46,104,"8,819",0,921,25,96,26,1,19,29,70,5,22,7,87,"9,082",0, ,17/05/17,19/05/17,33,22:15:00,23:45:00,00:45:00,02:45:00,No,0,0,0
E14000966,529,Staffordshire Moorlands,"63,260","44,661",70.6%,"44,745",70.7%,"44,943",71.0%,0,20,0,64,0,84,"9,113",40,0,"9,153",8,"8,353",32,0,32,0,0,17,719,"9,153","8,353",3,158,"8,155",202,364,19,65,0,1,2,70,47,40,22,11,83,624,3,6,17/05/17,22/05/17,8,22:00:00,00:55:00,01:15:00,03:10:00,No,0,0,0
E14000967,531,Stalybridge and Hyde,"71,409","42,457",59.5%,"42,584",59.6%,"43,188",60.5%,0,26,2,99,0,127,"16,530",131,0,"16,661",38,"13,078",181,81,108,81,47,301,"2,784","16,661","13,078",119,212,"12,474",0,352,61,40,27,47,45,56,86,70,31,20,50,814,97,11,18/05/17,20/05/17,78,22:00:00,01:40:00,01:55:00,04:55:00,No,0,0,0
E14000968,532,Stevenage,"70,765","49,327",69.7%,"49,468",69.9%,"49,826",70.4%,0,41,3,97,0,141,"24,166",100,4,"24,266",178,"20,438",47,3,77,20,0,39,"3,642","24,266","20,438",57,254,"20,080",361,240,5,28,23,13,21,148,103,3,47,3,38,"2,060",19,30,17/05/17,18/05/17,80,22:01:00,00:02:00,00:24:00,02:37:00,No,0,0,0
S14000057,533,Stirling,"66,415","49,372",74.3%,"49,444",74.4%,"49,639",74.7%,0,16,4,52,0,72,"11,731",17,2,"11,750",0,"10,274",39,2,15,2,0,28,"1,390","11,750","10,251",65,102,"10,079",188,692,18,183,18,5,42,30,71,1,4,17,84,863,23,37,20/05/17,23/05/17,22,22:00:00,00:00:00,00:05:00,04:10:00,No,1,0,0
E14000969,534,Stockport,"64,236","41,544",64.7%,"41,641",64.8%,"41,828",65.1%,0,20,1,76,0,97,"11,499",74,0,"11,573",34,"9,426",23,3,37,0,0,0,"2,084","11,573","9,409",36,134,"9,239",0,357,1,94,19,1,19,30,96,8,0,0,50,259,7,0,17/05/17,24/05/17,87,22:05:00,00:30:00,00:45:00,03:55:00,No,0,0,0
E14000970,535,Stockton North,"66,285","42,731",64.5%,"42,805",64.6%,"43,080",65.0%,0,36,1,37,0,74,"15,451",64,0,"15,515",31,"13,002",25,2,31,0,0,10,"2,445","15,515","13,002",84,176,"12,727",275,347,19,70,20,3,61,61,79,36,0,15,51,"1,027",6,18,18/05/17,22/05/17,64,22:00:00,00:00:00,23:15:00,01:15:00,No,0,6,0
E14000971,536,Stockton South,"75,625","53,824",71.2%,"53,906",71.3%,"54,204",71.7%,0,36,2,44,0,82,"20,700",116,0,"20,816",69,"17,962",31,4,43,0,0,18,"2,758","20,816","17,962",99,182,"17,664",298,577,38,50,20,6,73,49,90,43,1,15,49,"1,721",10,26,18/05/17,22/05/17,111,22:00:00,23:30:00,22:50:00,02:00:00,No,1,9,0
E14000972,537,Stoke-on-Trent Central,"56,915","33,144",58.2%,"33,208",58.3%,"33,411",58.7%,1,16,4,43,0,64,"6,863",33,0,"6,896",13,"5,619",28,0,20,0,0,22,"1,277","6,896","5,555",134,137,"5,416",2,160,4,79,12,17,7,46,28,18,0,20,45,599,12,9,18/05/17,22/05/17,14,22:00:00,01:30:00,02:00:00,05:00:00,No,0,0,0
E14000973,538,Stoke-on-Trent North,"71,558","41,785",58.4%,"41,908",58.6%,"42,148",58.9%,0,25,1,97,0,123,"8,472",45,0,"8,517",29,"7,042",45,0,16,0,0,25,45,"8,517","7,042",32,208,"6,802",13,140,6,31,12,11,32,73,39,28,13,0,61,501,15,5,18/05/17,22/05/17,18,22:00:00,01:30:00,02:00:00,05:00:00,No,0,0,0
E14000974,539,Stoke-on-Trent South,"66,057","41,693",63.1%,"41,794",63.3%,"41,927",63.5%,0,24,1,76,0,101,"8,153",67,0,"8,220",45,"6,821",26,0,22,0,0,25,"1,399","8,220","6,884",178,18,"6,688",0,220,7,107,10,17,11,57,27,27,18,0,55,728,15,10,18/05/17,22/05/17,23,22:00:00,01:30:00,02:00:00,05:00:00,No,0,0,0
E14000975,540,Stone,"67,824","50,032",73.8%,"50,131",73.9%,"50,325",74.2%,0,18,0,81,0,99,"10,244",11,0,"10,255",12,"8,823",44,0,11,0,0,23,"1,354","10,255","8,823",36,86,"8,629",0,921,25,95,13,1,22,21,50,15,12,4,89,"8,823",0, ,17/05/17,19/05/17,33,23:01:00,00:35:00,01:37:00,04:15:00,No,0,0,0
E14000976,541,Stourbridge,"70,220","47,133",67.1%,"47,205",67.2%,"47,326",67.4%,0,15,0,57,0,72,"10,794",33,0,"10,827",20,"9,344",33,1,12,0,0,39,"1,391","10,820","9,344",32,75,"9,223",111,332,1,31,7,10,15,32,34,9,14,0,51,369,3, ,15/05/17,23/05/17,34,22:15:00,01:00:00,01:15:00,04:00:00,No,0,0,0
N06000016,542,Strangford,"64,327","38,749",60.2%,"38,826",60.4%,"38,849",60.4%,0,44,2,31,0,77,"1,005",0,0,"1,005",0,902,4,0,0,0,0,4,95,"1,005",,,,879,23,197,,,,,,,,,,,67,,,77, , ,0,22:25:00,23:55:00,22:40:00,01:10:00, ,0,0,0
E14000977,543,Stratford-on-Avon,"72,572","53,532",73.8%,"53,684",74.0%,"53,921",74.3%,0,18,4,130,0,152,"15,339",151,0,"15,490",93,"13,177",50,4,54,0,0,56,"2,162","15,503","13,177",0,131,"12,940",131,597,10,66,14,38,47,81,34,16,13,56,98,653,7,8,19/05/17,23/05/17,6,22:00:00,23:55:00,00:00:00,01:38:00,No,0,0,0
E14000978,544,Streatham,"78,649","55,795",70.9%,"55,956",71.1%,"56,105",71.3%,14,61,0,86,0,161,"10,969",108,0,"11,077",164,"9,045",95,0,60,0,0,42,"1,727","10,969","9,045",71,40,"8,896",149,765,31,35,8,57,6,19,10,6,19,8,50,388,24,28,19/05/17,20/05/17, ,22:00:00,01:04:00,01:15:00,03:25:00,No,0,0,0
