marked “Rejected” (cancellations under regulations 77, 78,78A and 86A are not rejections and should be included in items 2, 3, 5, 8, 9 and 10 above)",1) How many proxies were appointed for these elections?,2) How many emergency proxies were appointed for these elections?,3) How many waivers were granted for these elections?,a) Want of a signature,b) Want of a date of birth,c) Want of both,d) Mismatched signature,e) Mismatched DoB,f) Both mismatched,g) Ballot paper unreturned ,h) Postal voting statement unreturned ,5) What was the total number of polling stations used?,6) How many covering envelopes were returned on polling day before 10pm?,7) How many covering envelopes were returned on the day after polling day before 10pm?,15) How many people tried to vote on polling day and were found not to be registered?,17) What was your issue date for postal votes sent overseas?,18) What was your delivery date for postal votes sent to electors in the UK?,19) How many covering envelopes were returned  via the final Royal Mail sweep on polling day in time to be counted?,21) a) At what time did verification begin?,22) b) At what time did verification end?,23) a) At what time did counting the votes on the ballot papers begin?,23) b) At what time did counting the votes on the ballot papers end?,24) Was the count suspended?,25) How many recounts did you hold? ,26) a) How many people were in a queue by 10pm and were waiting to vote at a polling station at the close of poll?,26) b) How many people joined a queue after 10pm and were waiting to vote at a polling station at the close of poll?
S14000008,51,"Berwickshire, Roxburgh and Selkirk","73,170","52,367",71.6%,"52,463",71.7%,"52,789",72.1%,0,29,0,67,0,96,"12,407",37,4,"12,448",14,"11,029",14,2,21,4,0,42,"1,336","12,448","11,029",142,108,"10,703",269,567,17,383,53,5,84,23,72,13,13,6,116,567,9,8,23/05/17,23/05/17,21,22:00:00,02:45:00,02:00:00,03:45:00,No,0,0,0
E14000554,50,Berwick-upon-Tweed,"59,148","42,212",71.4%,"42,291",71.5%,"42,486",71.8%,0,17,1,61,0,79,"10,427",70,0,"10,497",56,"9,306",49,8,14,12,0,49,"1,059","10,497","9,306",72,89,"9,111",195,439,1,94,21,15,36,32,48,9,8,13,85,548,62, ,11/05/17,22/05/17,15,23:00:00,03:40:00,03:40:00,06:10:00,No,0,0,0
E14000555,52,Bethnal Green and Bow,"86,075","59,837",69.5%,"60,112",69.8%,"60,956",70.8%,1,141,0,133,0,275,"14,981",172,0,"15,153",78,"12,622",160,0,94,0,0,52,"2,225","15,153","12,622",85,759,"11,778",844,582,37,48,11,64,10,611,93,55,0,0,53,"3,108", , ,19/05/17,23/05/17,121,22:00:00,01:45:00,01:00:00,04:00:00,No,0, , 
E14000556,53,Beverley and Holderness,"80,657","55,678",69.0%,"55,866",69.3%,"55,981",69.4%,0,59,3,126,0,188,"10,912",14,11,"10,937",91,"9,375",27,1,13,11,0,61,"1,449","10,937","9,358",25,65,"9,260",90,568, ,90,4,4,17,42,22,0,7,10,89,438,14, ,16/05/17,19/05/17,11,22:05:00,01:15:00,01:20:00,03:55:00,No,0,0,0
E14000557,54,Bexhill and Battle,"81,331","59,472",73.1%,"59,574",73.2%,"59,755",73.5%,0,10,23,69,0,102,"13,294",81,0,"13,375",84,"11,341",43,3,26,33,0,62,"1,867","13,375","11,341",76,98,"11,160",181,508,26,104,24,20,32,28,66,4,11,9,70,364,30, ,17/05/17,27/05/17,25,22:00:00,00:30:00,01:00:00,03:30:00,No,0,0,0
E14000558,55,Bexleyheath and Crayford,"65,315","45,189",69.2%,"45,281",69.3%,"45,613",69.8%,0,25,1,66,0,92,"11,247",94,0,"11,341",31,"9,661",39,0,23,0,0,42,"1,576","11,341","9,661",109,83,"9,329",198,354,7,128,51,31,27,37,36,10,1,5,48,"1,033",35,1,17/05/17,19/05/17,19,22:00:00,01:02:00,01:03:00,03:00:00,No ,0,0,0
E14000559,56,Birkenhead,"64,484","43,663",67.7%,"43,771",67.9%,"43,853",68.0%,0,28,1,79,0,108,"10,346",23,0,"10,369",97,"8,454",30,2,21,0,0,32,"1,830","10,369","8,454",32,44,"8,372",82,312,9,102,9,15,8,14,20,10,4,2,29,476,13,0,11/05/17,27/05/17,47,22:00:00,23:25:00,23:30:00,01:19:00,No,0,0,0
E14000560,57,"Birmingham, Edgbaston","68,091","43,612",64.0%,"43,720",64.2%,"43,967",64.6%,0,24,2,82,0,108,"9,423",27,0,"9,450",9,"7,709",31,3,13,5,0,61,"1,621","9,443","7,709",65,175,"7,462",258,398,19,36,13,4,48,48,89,38,7,11,45,691,14, ,19/05/17,22/05/17,159,22:30:00,01:00:00,00:00:00,02:50:00,No ,0,0,0
E14000561,58,"Birmingham, Erdington","65,067","37,217",57.2%,"37,329",57.4%,"37,489",57.6%,0,38,4,70,0,112,"6,471",10,0,"6,481",1,"5,194",12,3,7,0,0,37,"1,228","6,481","5,194",40,115,"5,034",168,161,11,22,10,0,30,45,40,30,5,8,43,407,12, ,19/05/17,22/05/17,61,22:45:00,01:49:00,00:50:00,02:30:00,No,0,0,0
E14000562,59,"Birmingham, Hall Green","78,271","54,310",69.4%,"54,497",69.6%,"54,804",70.0%,0,114,4,69,0,187,"9,003",21,0,"9,024",4,"7,381",34,2,17,0,0,37,"1,553","9,024","7,381",68,229,"7,074",316,335,18,77,17,2,49,92,85,52,11,8,47,963,19, ,19/05/17,22/05/17,148,22:45:00,03:10:00,01:10:00,03:30:00,No ,0,0,0
E14000563,60,"Birmingham, Hodge Hill","75,698","46,394",61.3%,"46,553",61.5%,"46,813",61.8%,0,102,3,54,0,159,"7,060",10,0,"7,070",0,"5,433",33,5,5,0,0,32,"1,562","7,070","5,344",45,197,"5,173",270,79,6,54,9,4,32,90,67,40,18,10,46,780,21, ,19/05/17,22/05/17,75,22:45:00,02:55:00,01:15:00,03:30:00,No ,0,0,0
E14000564,61,"Birmingham, Ladywood","70,023","41,307",59.0%,"41,462",59.2%,"41,661",59.5%,0,84,5,66,0,155,"6,505",18,0,"6,523",4,"4,838",33,2,12,0,0,47,"1,591","6,523","4,838",39,150,"4,639",207,162,13,37,11,2,26,62,50,38,10,8,49,824,15, ,19/05/17,22/05/17,99,22:30:00,02:30:00,01:10:00,03:00:00,No ,0,0,0
