Latitude,Longitude,Type,Date,Part of a policing operation,Policing operation,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
52.502559,-2.084663,Vehicle search,2017-10-01T22:35:00+00:00,,,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Article found - Detailed outcome unavailable,,
52.569873,-2.058885,Person search,2017-10-01T22:35:00+00:00,,,,25-34,Mixed/Multiple ethnic groups - White and Black Caribbean,Other,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,FALSE
52.456876,-2.112919,Person search,2017-10-01T23:28:00+00:00,,,,18-24,Asian/Asian British - Pakistani,Asian,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,FALSE
52.454139,-1.882247,Person search,2017-10-01T23:51:00+00:00,,,,,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given drugs possession warning,TRUE,FALSE
52.473615,-1.896181,Person search,2017-10-02T00:51:00+00:00,,,,18-24,Black/African/Caribbean/Black British - African,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,TRUE
52.473615,-1.896181,Person search,2017-10-02T00:58:00+00:00,,,,18-24,Black/African/Caribbean/Black British - African,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,TRUE
52.443213,-1.828298,Person search,2017-10-02T01:19:00+00:00,,,,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Suspect arrested,FALSE,FALSE
52.453859,-1.770999,Person and Vehicle search,2017-10-02T01:33:00+00:00,,,,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,TRUE,
52.433412,-1.456075,Person search,2017-10-02T02:10:00+00:00,,,,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,FALSE
52.471464,-1.89336,Person search,2017-10-02T02:58:00+00:00,,,,over 34,Black/African/Caribbean/Black British - Caribbean,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Suspect arrested,FALSE,FALSE
52.497309,-1.90324,Person search,2017-10-02T12:04:00+00:00,,,,25-34,Asian/Asian British - Any other Asian background,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,
52.503107,-1.801489,Person search,2017-10-02T12:10:00+00:00,,,,over 34,Black/African/Caribbean/Black British - Caribbean,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Suspect arrested,FALSE,FALSE
52.464121,-1.839138,Person search,2017-10-02T13:22:00+00:00,,,,,Black/African/Caribbean/Black British - Caribbean,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Suspect arrested,FALSE,FALSE
52.53433,-1.903483,Person and Vehicle search,2017-10-02T14:51:00+00:00,,,,,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,FALSE
52.527539,-1.841369,Person search,2017-10-02T19:14:00+00:00,,,,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given drugs possession warning,TRUE,FALSE
52.437358,-1.47184,Person search,2017-10-02T19:23:00+00:00,,,,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,,Firearms Act 1968 (section 47),Firearms,Nothing found - no further action,,FALSE
52.437358,-1.47184,Person search,2017-10-02T19:23:00+00:00,,,,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,,Firearms Act 1968 (section 47),Firearms,Nothing found - no further action,,FALSE
52.630594,-2.124123,Person search,2017-10-02T20:11:00+00:00,,,,,Asian/Asian British - Indian,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,TRUE,FALSE
52.411354,-1.521385,Person search,2017-10-02T22:52:00+00:00,,,,over 34,Other ethnic group - Not stated,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,TRUE,FALSE
52.565971,-2.110028,Person and Vehicle search,2017-10-02T23:20:00+00:00,,,,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,FALSE
52.565971,-2.110028,Person search,2017-10-02T23:20:00+00:00,,,,,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,FALSE
52.531403,-1.878532,Person search,2017-10-02T23:24:00+00:00,,,,,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Suspect arrested,FALSE,FALSE
